date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:01	30316/30316	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:03:57%20GMT	http://armguitar.do.am/index/vladimir_vysockij/0-16	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/vladimir_vysockij/0-16.html	(from http://armguitar.do.am/)
13:04:04	14044/14044	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:00%20GMT	http://armguitar.do.am/index/ayl_erger/0-17	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/ayl_erger/0-17.html	(from http://armguitar.do.am/)
13:04:05	14536/14536	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:01%20GMT	http://armguitar.do.am/index/flamenko/0-25	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/flamenko/0-25.html	(from http://armguitar.do.am/)
13:04:06	15913/15913	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:02%20GMT	http://armguitar.do.am/index/ispanakan_dasakan/0-26	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/ispanakan_dasakan/0-26.html	(from http://armguitar.do.am/)
13:04:06	27607/27607	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:02%20GMT	http://armguitar.do.am/index/maroon_5/0-29	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/maroon_5/0-29.html	(from http://armguitar.do.am/)
13:04:07	0/0	---MC-	301	error ('Moved%20Permanently')	application/octet-stream	date:Fri,%2021%20Mar%202014%2020:04:03%20GMT	http://armguitar.do.am/index/patmowt'yown/0-30	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/patmowt'yown/0-30	(from http://armguitar.do.am/)
13:04:08	20075/20075	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:03%20GMT	http://armguitar.do.am/index/patmowt_yown/0-30	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/patmowt_yown/0-30	(from http://armguitar.do.am/)
13:04:08	18198/18198	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:04%20GMT	http://armguitar.do.am/index/famous_quotes_about_guitar/0-31	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/famous_quotes_about_guitar/0-31.html	(from http://armguitar.do.am/)
13:04:09	13372/13372	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:04%20GMT	http://armguitar.do.am/index/2012/0-28	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/2012/0-28.html	(from http://armguitar.do.am/)
13:04:09	16863/16863	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:05%20GMT	http://armguitar.do.am/index/2010/0-27	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/2010/0-27.html	(from http://armguitar.do.am/)
